date,Value
1993-01,702157.6
1993-02,2726925.3
1993-03,4730318.6
1993-04,7378367.8
1993-05,11680753.4
1993-06,18291948.9
1993-07,18021294.7
1993-08,21028811.6
1993-09,23438701.6
1993-10,27570899.7
1993-11,28525741.1
1993-12,40212608.4
1994-01,42592232.5
1994-02,31281776.7
1994-03,37383802.6
1994-04,37491620.6
1994-05,41734136.9
1994-06,59676368.5
1994-07,42474508.7
1994-08,43566089.1
1994-09,46479839.6
1994-10,46615494.0
1994-11,47591232.6
1994-12,61903629.0
1995-01,66245579.7
1995-02,45126076.7
1995-03,54113431.3
1995-04,54844143.6
1995-05,59914969.2
1995-06,81612628.1
1995-07,59959795.5
1995-08,61914115.8
1995-09,63051038.8
1995-10,66593805.4
1995-11,67447282.3
1995-12,86907597.7
1996-01,93622315.9
1996-02,67669651.0
1996-03,76962100.5
1996-04,79176075.7
1996-05,84998109.4
1996-06,118709525.0
1996-07,90753727.6
1996-08,96292853.7
1996-09,100840753.2
1996-10,105841653.9
1996-11,107962328.5
1996-12,141022373.9
1997-01,149308207.7
1997-02,105167650.0
1997-03,120829178.8
1997-04,123419806.0
1997-05,130633542.8
1997-06,180533012.8
1997-07,132462485.1
1997-08,135565258.0
1997-09,140446254.2
1997-10,143934150.5
1997-11,142695523.3
1997-12,183333941.9
1998-01,192082358.2
1998-02,128749327.0
1998-03,148188410.7
1998-04,147273342.6
1998-05,149884936.1
1998-06,209902026.5
1998-07,147337119.2
1998-08,150639332.7
1998-09,148297693.4
1998-10,151889623.6
1998-11,148842093.6
1998-12,171697093.7
